,account_display_name,view,count,avg_view,created_at,fan,type_fan
515,Naefit,8906033,95,93747,2020-08-05 21:39:50,211000,Silver
516,NagsTV,41257240,345,119586,2020-12-29 17:30:00,1080000,Gold
527,Newzkung Raccoonza,6955548,626,11111,2020-12-31 09:30:54,768000,Silver
528,NinaBeautyWorld,634370,37,17145,2020-12-31 11:30:59,196000,Silver
532,Nisamanee.Nutt,83389575,220,379043,2020-12-30 20:00:14,1450000,Gold
533,Nn.lardapha,11525977,149,77355,2020-12-30 18:00:03,321000,Silver
534,Nobi,22493551,179,125662,2020-12-27 10:52:39,1560000,Gold
535,Nontakan Ns.,47580877,139,342308,2020-12-30 20:31:39,1940000,Gold
537,NosickHandup,950376,15,63358,2020-08-18 09:00:07,214000,Silver
538,NosickHandup ใครไม่ป่วยยกมือขึ้น,327868,8,40983,2020-12-29 20:17:59,232000,Silver
539,NotebookSPEC,6485065,305,21262,2020-12-31 20:00:16,577000,Silver
540,NoteworthyMF,1227391,16,76711,2020-09-01 18:00:01,119000,Silver
541,Nuania,6085081,103,59078,2020-12-30 19:00:30,312000,Silver
543,Nueng Panuwat,6459861,80,80748,2020-12-29 20:29:22,750000,Silver
544,Nurseryus S.,2311333,51,45320,2020-12-22 13:13:05,150000,Silver
545,NutPintoChannel,18575686,381,48755,2020-12-31 18:00:30,961000,Silver
546,NutTH Channel,723828,48,15079,2020-12-06 09:30:09,793000,Silver
548,OHVER,52507460,141,372393,2020-12-30 18:25:23,2010000,Gold
549,OPZ TV,103357416,157,658327,2020-12-30 16:00:02,1890000,Gold
551,OhBIGz,3311828,115,28798,2020-12-31 16:00:05,215000,Silver
552,Online Station,21444484,559,38362,2020-12-31 17:00:12,717000,Silver
553,Oppa Thuchy,77673707,121,641931,2020-12-30 16:30:01,2170000,Gold
554,Outdoor Ch,8134943,128,63554,2020-12-20 16:25:34,159000,Silver
555,OverclockZoneTV,4146617,344,12054,2020-12-31 18:50:12,219000,Silver
556,Ozrealman,213738171,171,1249930,2020-12-30 11:00:03,2250000,Gold
557,PBSupercarPhotography,17009185,76,223805,2020-12-31 14:21:23,373000,Silver
559,PEACH EAT LAEK,194658878,126,1544911,2020-12-31 16:00:03,6650000,Gold
560,PEACHII,12367977,60,206132,2020-12-30 19:45:11,1260000,Gold
561,PHOLFOODMAFIA,2055422,756,2718,2020-12-31 20:00:08,515000,Silver
562,PIMMY TASTY,3480401,23,151321,2020-11-12 18:51:34,455000,Silver
563,PINTO GAMING,577243,10,57724,2020-02-25 19:34:35,196000,Silver
564,PJY` Gamer,63686330,217,293485,2020-12-29 20:13:57,2600000,Gold
565,PMay,25572,2,12786,2020-02-18 18:41:51,1490000,Gold
568,POSADE,2064873,19,108677,2020-12-22 16:00:10,176000,Silver
571,PRIMKUNG,249101964,281,886483,2020-12-31 14:52:25,2800000,Gold
582,Patiiz PTZ,2515022,23,109348,2020-12-29 18:56:04,214000,Silver
587,Pigkaploy,7133741,45,158527,2020-12-30 19:00:15,282000,Silver
589,Pint0Gaming,6156774,24,256532,2020-05-30 18:00:14,259000,Silver
591,Pit Start,10610273,102,104022,2020-12-31 17:03:01,987000,Silver
592,Piyapeauty Makeup,5528006,61,90623,2020-12-27 19:00:05,374000,Silver
595,PlearnGaming,772050,364,2121,2020-12-31 22:25:58,187000,Silver
598,Point of View,16189481,145,111651,2020-12-30 17:00:11,1100000,Gold
599,PojzPlaza,275875645,201,1372515,2020-12-31 18:46:35,6820000,Gold
613,RAP'TUM GAMERChannel,6398615,147,43527,2020-12-30 19:30:54,549000,Silver
614,RK Thai Kitchen & Beyond,10333,11,939,2020-12-22 07:14:28,132000,Silver
621,Riety,9846037,63,156286,2020-12-27 20:45:24,367000,Silver
622,RisibleHD,38809577,105,369615,2020-12-31 12:30:00,1330000,Gold
624,Rod on Tube,4828126,101,47803,2020-12-18 21:36:41,165000,Silver
625,Roger Films,232016,22,10546,2020-11-29 00:44:15,134000,Silver
629,Rush,5364806,169,31744,2020-12-29 14:25:19,172000,Silver
633,SAN CE,71460626,186,384196,2020-12-31 16:56:44,544000,Silver
634,SANDEE CH,107654810,252,427201,2020-12-31 18:06:54,1370000,Gold
635,SATANG BANK,2504669,50,50093,2020-12-30 17:15:03,582000,Silver
638,SFTV,69504,32,2172,2020-08-04 22:16:56,733000,Silver
639,SPOOKY TV,59471413,56,1061989,2020-12-27 14:52:49,831000,Silver
640,SPSaypan,708744,20,35437,2020-11-09 19:24:55,135000,Silver
641,SUNFESOVERLOAD,69238424,283,244658,2020-12-30 17:15:43,1690000,Gold
643,SVIT_TV,1077744,63,17107,2020-10-06 15:36:36,162000,Silver
644,Saira Mirror,3486289,30,116209,2020-12-28 18:41:20,426000,Silver
645,Salaider Esport,4777191,12,398099,2020-12-27 12:35:49,292000,Silver
648,Sauce Channel,10939349,60,182322,2020-12-25 16:00:24,109000,Silver
649,Sean Buranahiran - ฌอน บูรณะหิรัญ,32077468,115,278934,2020-06-23 20:00:11,1500000,Gold
650,Seedling FIFA,3631756,166,21878,2020-12-31 19:47:49,427000,Silver
651,Sek Food&DIY Sek Food&DIY,1328803,178,7465,2020-12-30 18:30:03,144000,Silver
659,Sir.Mikey,3331691,257,12963,2020-12-31 08:30:04,736000,Silver
661,SkizzTV,192054256,255,753153,2020-12-31 22:09:05,5470000,Gold
663,Skylaxy Channel,133862707,251,533317,2020-12-29 18:15:00,1500000,Gold
664,Slapper,43081673,297,145056,2020-12-31 17:15:01,1270000,Gold
665,Smitz,1625806,76,21392,2020-12-28 18:07:21,252000,Silver
667,Sneak Out หนีเที่ยว,5026593,78,64443,2020-12-30 19:00:11,179000,Silver
668,SoftpomzChannel,45734005,97,471484,2020-12-29 19:42:01,3240000,Gold
671,SorDor Style,89578822,150,597192,2020-12-29 20:00:03,4140000,Gold
673,Soundtiss ST,7253904,73,99368,2020-12-24 19:41:56,764000,Silver
674,SpecPhoneTV,7268852,187,38870,2020-12-27 20:56:29,457000,Silver
675,SpokeDark TV,10223755,49,208648,2020-12-19 10:29:09,1200000,Gold
676,Sprite Salaider,48002427,10,4800242,2020-07-05 15:22:40,3070000,Gold
677,SpriteDer SPD,83079039,24,3461626,2020-12-30 18:40:43,4460000,Gold
678,StardewToon,34829219,212,164288,2020-12-30 16:00:34,493000,Silver
679,Starvingtime เรื่องกินเรื่องใหญ่,8964693,147,60984,2020-12-29 18:30:04,364000,Silver
680,Steep Family,60779,41,1482,2020-12-31 15:26:05,733000,Silver
681,StepGeekTV Online,48312785,443,109058,2020-12-30 18:42:21,1230000,Gold
682,SteveKunG,4685731,71,65996,2020-12-20 16:37:39,300000,Silver
683,Storybomb,6576472,30,219215,2020-12-29 19:45:12,138000,Silver
684,SuN12,8099682,187,43313,2020-12-30 00:41:08,390000,Silver
691,SuperGirl Channel,451901,98,4611,2020-11-26 21:14:42,228000,Silver
695,TAE,91680478,185,495570,2020-12-31 08:00:09,6710000,Gold
696,TAEJK,4040441,290,13932,2020-12-31 20:42:11,699000,Silver
697,TAMMER,14194895,184,77146,2020-12-31 20:27:15,1370000,Gold
698,TANX,5648958,108,52305,2020-12-24 12:00:05,141000,Silver
702,THE 20,771917,25,30876,2020-08-04 19:15:00,288000,Silver
703,THE AUN GAME,26170713,395,66254,2020-12-31 23:22:35,633000,Silver
704,THE BACKGROUND - ความเป็นมา-,5299093,75,70654,2020-12-22 21:23:37,107000,Silver
705,THE MONEY COACH,3719961,167,22275,2020-12-08 21:45:11,270000,Silver
706,THECLIPbyHeadlightmag,3005793,28,107349,2020-11-12 12:11:19,180000,Silver
708,THISKK,170291,7,24327,2020-04-01 13:42:46,261000,Silver
710,TONKLA,88059819,355,248055,2020-12-31 13:15:00,1470000,Gold
711,TOR Torpedo,588143138,350,1680408,2020-12-31 09:00:01,2350000,Gold
712,TRUCK ONLY CHANNEL,8219484,200,41097,2020-12-30 16:57:39,153000,Silver
715,TaiGn Channel,2177810,113,19272,2020-12-31 15:00:13,475000,Silver
717,TalkAmerican by MsLingLingOfficial,121691,32,3802,2020-12-16 09:00:03,320000,Silver
720,TeamGarryMovieThai,14268662,265,53844,2020-12-30 17:00:08,1960000,Gold
722,TechOffside,13291934,534,24891,2020-12-31 19:00:23,243000,Silver
728,ThaiAcoustic,9180,1,9180,2020-05-03 16:11:15,675000,Silver
731,ThaiRacing Official,5049351,108,46753,2020-12-28 13:00:02,195000,Silver
732,ThaiTopFitness,1316087,59,22306,2020-12-24 19:30:08,207000,Silver
735,Thaiware.com,303624,51,5953,2020-12-25 22:00:04,127000,Silver
737,Thanks For Watching,324762823,725,447948,2020-12-31 23:58:18,2510000,Gold
740,The Money Game,5126,19,269,2020-06-14 23:29:34,176000,Silver
741,The Moof,29685510,517,57418,2020-12-31 20:30:03,770000,Silver
743,The Snack,30744966,53,580093,2020-12-31 18:09:31,3470000,Gold
746,The snack,86131177,75,1148415,2020-08-30 12:00:02,3360000,Gold
749,TheycallmeMeaow,16737177,202,82857,2020-12-31 12:00:05,915000,Silver
751,ThxCom,1934264,49,39474,2020-12-22 19:08:54,120000,Silver
752,TiNathan Channel,4057606,373,10878,2020-12-31 16:25:00,604000,Silver
753,TidReview ชีวิตติดรีวิว,9514590,1011,9411,2020-12-31 10:00:19,371000,Silver
755,TooM Style,2489073,142,17528,2020-12-31 17:00:01,145000,Silver
758,Trinity Big Master,30762,21,1464,2020-12-08 08:00:01,130000,Silver
762,UDiEX2,242274908,198,1223610,2020-12-19 16:14:58,8280000,Gold
763,ULN Channel,2324033,14,166002,2020-12-14 00:07:12,103000,Silver
764,Uke-Uke,15975668,397,40240,2020-12-31 09:00:02,897000,Silver
768,VIPS Station,17550849,138,127180,2020-12-30 20:28:07,970000,Silver
769,VRZOchannel,111309133,213,522578,2020-12-30 16:00:34,6600000,Gold
771,VVFwave Kung,45228288,390,115969,2020-12-30 12:00:11,2200000,Gold
772,VictoryCast,12833365,286,44871,2020-12-30 19:17:46,861000,Silver
774,WEARTOWORKSTYLE,2547561,66,38599,2020-12-24 20:34:36,176000,Silver
776,WIRI,370415,17,21789,2020-11-21 15:16:41,1260000,Gold
779,WakeUp Ruj,35207137,228,154417,2020-12-31 08:45:01,704000,Silver
783,Wavezy,5070015,60,84500,2020-12-29 18:05:41,164000,Silver
788,Wonderpeach,4225081,117,36111,2020-12-24 19:01:56,487000,Silver
789,Wongnai,11936277,337,35419,2020-12-30 19:00:16,669000,Silver
790,WopLastNighTV,159980,501,319,2020-12-31 18:00:06,156000,Silver
793,XO Autosport,17447914,304,57394,2020-12-31 19:00:13,774000,Silver
794,Xcrosz,32344819,267,121141,2020-12-31 15:05:20,3350000,Gold
795,XyCloneZ,72626204,318,228384,2020-12-31 14:42:08,1110000,Gold
796,YAMUYAMI,4368266,67,65198,2020-12-27 18:00:17,205000,Silver
798,YIM CH,9674396,119,81297,2020-12-31 20:09:42,454000,Silver
799,Ya Taliban,12720492,94,135324,2020-12-31 17:13:54,1320000,Gold
800,Yae uunws,2230137,61,36559,2020-12-22 13:00:05,703000,Silver
801,Yamatum O,38287681,109,351263,2020-12-26 11:29:57,2050000,Gold
802,YimYam TV,610467974,349,1749191,2020-12-14 17:30:01,5130000,Gold
805,Yoyoyo Channel,27141603,235,115496,2020-12-31 09:00:07,464000,Silver
806,YuRiUkuri,1806644,32,56457,2020-12-23 20:33:42,261000,Silver
808,ZJB,1359493,56,24276,2020-12-21 18:00:03,140000,Silver
809,Zellfie,20035203,82,244331,2020-12-31 17:00:04,653000,Silver
810,Zeroz Kingner,5437563,101,53837,2020-12-31 10:00:04,569000,Silver
811,ZuckerRider WheelieTH,16719242,144,116105,2020-12-31 17:15:01,1100000,Gold
812,ZuvapitSnap,8498274,31,274137,2020-12-26 15:41:20,436000,Silver
813,[tackle4826] - Tackle Minecraft,53174715,207,256882,2020-12-31 23:00:58,2490000,Gold
817,amadjpetjah อาม่าดีเจเพชรจ้า,9668736,52,185937,2020-12-27 12:00:02,293000,Silver
819,autolifethailand official,38144763,148,257734,2020-12-13 22:02:47,460000,Silver
822,beartai,22709484,479,47410,2020-12-31 07:00:02,737000,Silver
826,cCraftedStudio,6143618,34,180694,2020-12-19 22:59:14,1120000,Gold
831,chino to share,2522406,50,50448,2020-12-29 18:42:30,113000,Silver
833,classmetic,514585,10,51458,2020-12-30 19:13:21,110000,Silver
835,dailycherie,4681431,54,86693,2020-11-27 14:15:02,225000,Silver
837,djpetjah channel,41538845,67,619982,2020-12-26 11:00:06,1430000,Gold
839,driveautoblog,9526163,118,80730,2020-12-31 15:02:08,299000,Silver
840,droidsans,37230913,404,92155,2020-12-29 21:45:04,580000,Silver
843,echo,9858724,278,35463,2020-12-30 14:00:01,174000,Silver
845,essAyseeK TV,649069,116,5595,2020-12-31 12:37:59,512000,Silver
847,feonalita,374068,29,12898,2020-12-15 16:43:24,129000,Silver
851,iLoveToGoDotCOM,1962689,170,11545,2020-12-31 09:00:06,351000,Silver
852,iMoD Official,16248485,329,49387,2020-12-31 10:35:32,249000,Silver
853,iNat94,65527,4,16381,2020-03-18 09:00:02,142000,Silver
854,iNewch,9219585,256,36014,2020-12-24 17:00:11,162000,Silver
858,iT24Hrs,1911970,127,15054,2020-12-26 14:28:16,219000,Silver
859,iamSometimes,37610130,87,432300,2020-12-30 17:54:25,280000,Silver
860,iaumreview,8929442,227,39336,2020-12-30 18:40:13,348000,Silver
861,icepadie,16199360,183,88521,2020-12-30 17:09:29,784000,Silver
868,khwankhong,1775698,87,20410,2020-12-31 21:47:09,130000,Silver
870,lifestylehattaya70,2321702,72,32245,2020-12-30 19:49:36,358000,Silver
871,lily nawiya,1649998,57,28947,2020-12-28 19:49:00,176000,Silver
874,mhunoiii,967091,31,31196,2020-11-24 18:35:28,210000,Silver
876,mintchyy,7332404,66,111097,2020-12-26 13:49:28,1050000,Gold
877,missPimpaka,109476,35,3127,2020-12-28 17:19:44,113000,Silver
878,motocross action magazine,7753256,144,53842,2020-12-29 02:06:42,179000,Silver
881,ndmikkiholic,2763371,52,53141,2020-12-04 20:00:03,426000,Silver
883,noyneung makeup,5950827,146,40759,2020-12-30 18:51:11,166000,Silver
884,nutties11311,7838192,88,89070,2020-12-30 20:08:24,1340000,Gold
887,ohana clip,177515452,138,1286343,2020-12-30 17:00:31,4140000,Gold
890,oporcony,15400622,255,60394,2020-12-31 15:00:04,734000,Silver
891,papayatop.com,3019390,176,17155,2020-12-30 01:04:25,112000,Silver
895,ple nakorn CHANNEL,66662070,125,533296,2020-12-25 18:00:15,2810000,Gold
897,prasertcbs,333493,205,1626,2020-12-30 21:35:02,103000,Silver
900,rindere chan,6482882,124,52281,2020-12-16 15:55:08,1190000,Gold
903,sixpackclub.net,8990786,164,54821,2020-12-30 13:19:00,187000,Silver
904,softpomz,44195320,107,413040,2020-12-26 19:00:03,2920000,Gold
906,spin9,35126395,270,130097,2020-12-30 19:00:12,432000,Silver
907,sudsapda tv,5468800,121,45196,2020-12-27 11:00:00,272000,Silver
908,tAehiRocK,1575817,37,42589,2020-12-17 18:36:45,940000,Silver
910,tigercrychannel,152985095,228,670987,2020-12-30 17:00:31,1960000,Gold
916,vvalentines,1801199,80,22514,2020-12-21 20:58:17,147000,Silver
918,webdekd,8655905,314,27566,2020-12-26 17:00:09,262000,Silver
922,zbing z.,719777715,370,1945345,2020-12-31 07:00:00,12500000,Diamond
923,zommarie,73189807,160,457436,2020-12-31 10:30:02,2740000,Gold
924,กันณ์ เรสซิ่ง,30756594,366,84034,2020-12-30 19:14:25,401000,Silver
925,กับข้าวกับตา,23762286,56,424326,2020-07-24 17:00:18,508000,Silver
926,กับข้าวกับปลาโอ PlaoCooking,99335943,253,392632,2020-12-31 07:13:35,1970000,Gold
927,กาย หงิด,226853954,214,1060065,2020-12-31 16:45:00,3680000,Gold
929,กิต งายย,158411025,258,613996,2020-12-31 12:47:45,3440000,Gold
931,กินอยู่ดีโดยหมอนัด,3295772,108,30516,2020-12-31 21:50:45,140000,Silver
932,กินเที่ยวทัวร์ให้อ้วนตาย Eat Fat Dead,85740,35,2449,2020-10-03 20:29:26,314000,Silver
935,กินให้อ้วนตาย,90337,19,4754,2020-01-20 19:00:15,281000,Silver
936,กินให้อ้วนตาย Eat Fat Dead,7801385,689,11322,2020-10-29 17:58:05,328000,Silver
937,กินได้อร่อยด้วย,42849104,168,255054,2020-12-28 10:00:05,1510000,Gold
938,กินไปไทยหรั่ง,54627086,97,563165,2020-12-18 16:57:55,1470000,Gold
940,ขับซ่า Channel,1687714,104,16228,2020-12-30 18:00:11,110000,Silver
941,ข้าวจ้าว หมากวนตีน,91124076,445,204773,2020-12-31 18:32:01,388000,Silver
942,คนใฝ่รู้ [Studios],3055659,92,33213,2020-12-30 08:58:02,209000,Silver
944,ครัวชั้นสูง - High Zone Kitchen,7573022,121,62586,2020-12-29 18:00:06,244000,Silver
946,ครัวบ้านทุ่งกับลุงเด่น พากินพาเที่ยว,33669962,391,86112,2020-12-31 07:44:10,695000,Silver
947,ครัวบ้านๆ Channel,464818,94,4944,2020-12-31 10:35:32,137000,Silver
949,ครัวป้ามารายห์,2176378,117,18601,2020-12-30 16:30:08,303000,Silver
950,ครัวพิศพิไล,2242387,54,41525,2020-12-26 12:00:15,1750000,Gold
951,ครัวมนุษย์ป้า by คุณป้า ปอมปอม,678494,260,2609,2020-12-31 16:00:10,141000,Silver
952,ครัววิชณีย์,280309,18,15572,2020-12-29 16:17:13,764000,Silver
953,ครัวแล้วแต่เอ๋จ้าา (Official),209132,86,2431,2020-12-19 20:00:10,115000,Silver
954,ครูนกเล็ก,188184782,417,451282,2020-12-31 18:30:03,8760000,Gold
955,ครูอ้อย เข็มทิศชีวิต,518609,90,5762,2020-08-22 23:29:54,111000,Silver
957,คิดเรื่องอยู่ ThinkofLiving,5462800,180,30348,2020-12-31 22:48:28,178000,Silver
962,คุยการเงินกับที,4604856,136,33859,2020-12-22 08:00:19,168000,Silver
963,ฅ-คนรักรถ,1445062,74,19527,2020-12-28 18:48:43,124000,Silver
964,จดอ - JUSTดูIT.,37570496,162,231916,2020-12-28 17:36:58,1510000,Gold
966,จอห์นไรเดอร์ - Johnrider,15614064,179,87229,2020-12-30 19:30:41,666000,Silver
967,ชะโงกทัวร์ออนไลน์,4855855,362,13413,2020-12-29 19:49:53,217000,Silver
968,ชาญชัย Charnchai,2703681,146,18518,2020-11-17 22:28:30,338000,Silver
969,ชาญชัย กินให้อ้วนรวย,7729366,314,24615,2020-12-14 16:16:31,361000,Silver
971,ชุดนอน ขอรบกวนทั้งชุดนอน,501249,97,5167,2020-12-14 14:48:27,161000,Silver
977,ตุ้ยนุ้ยตะลุยแดก,4647475,32,145233,2020-12-07 19:22:50,112000,Silver
980,ตู้ซ่อนหมี,24089006,165,145993,2020-12-29 20:00:09,155000,Silver
983,ท่องเที่ยวสะดุดตา sadoodta,1342981,173,7762,2020-12-30 21:01:43,317000,Silver
984,ทํากินเอง [Official Account],1188834,150,7925,2020-12-30 20:01:29,135000,Silver
985,ทําเอง กินเอง Byแม่Milko_o,25651826,136,188616,2020-12-30 11:45:00,603000,Silver
987,นวล,4110770,36,114188,2020-12-28 18:29:06,148000,Silver
988,นางพญาปลวก by miss rain,3090542,96,32193,2020-12-27 13:17:46,452000,Silver
989,นางแมวป่า,12814047,108,118648,2020-12-28 20:00:05,219000,Silver
994,บ้านอาชีพกู๋เล็ก,3144320,108,29114,2020-12-29 19:47:14,532000,Silver
995,บ้านเราสตอรี่,8902733,188,47354,2020-12-29 06:00:02,454000,Silver
998,ป้าหนึ่ง ตึ่งโป๊ะ,35140921,195,180209,2020-12-14 19:50:35,877000,Silver
1004,พี่แว่น,3654780,145,25205,2020-12-21 16:57:22,164000,Silver
1008,มะขวิด & มะเหมี่ยว Official,1145429,132,8677,2020-12-29 16:21:29,168000,Silver
1011,ยายชมภู กินแหลกแดกแต่ของใหญ่ๆ,652589,151,4321,2020-10-03 21:26:52,657000,Silver
1012,รถซิ่งไทยแลนด์ (RodzingThailand),32911604,143,230151,2020-12-29 18:00:31,740000,Silver
1022,สตาเด๋อตูน,2044953,14,146068,2020-08-06 16:06:23,451000,Silver
1023,สะใภ้เกาหลี by korean,204352441,194,1053363,2020-12-29 18:04:08,1470000,Gold
1027,หนูนาสวีเดน แฟนเฟจ,1562911,44,35520,2020-02-24 15:33:20,519000,Silver
1028,หนูนาสวีเดน แฟนเฟจ Noona Sweden,12231980,302,40503,2020-12-14 15:19:18,563000,Silver
1032,หมอหมี เม้าท์มอย,5507052,124,44411,2020-12-31 07:07:06,117000,Silver
1037,หม่อมถนัดแดก,171400403,130,1318464,2020-12-31 11:00:59,3780000,Gold
1039,หาเงินออนไลน์ กับเทรดเดอร์แทน,30821,8,3852,2020-12-04 20:24:42,181000,Silver
1042,อร่อยนัวร์ [Aroy N],18904755,201,94053,2020-12-31 12:41:35,173000,Silver
1043,อร่อยพุง,6332420,101,62697,2020-12-25 11:27:13,1150000,Gold
1044,อันดับ 10,15816411,209,75676,2020-12-30 17:22:21,830000,Silver
1045,อาตี๋ รีวิว,19689530,427,46111,2020-12-31 20:26:23,180000,Silver
1047,อาสาพาไปหลง - asapapailong,10917575,75,145567,2020-12-18 20:00:09,478000,Silver
1049,อ้วนจูนเนอร์ รับติดตั้งกล่องดันรางยกหัวฉีด,14559963,196,74285,2020-12-31 19:58:02,241000,Silver
1054,เข้าครัวกับคุณโหน่ง,12972547,210,61774,2020-08-31 14:30:03,855000,Silver
1055,เข้าครัวทํากิน Enter the kitchen,5918014,107,55308,2020-12-31 16:13:25,221000,Silver
1056,เฉลิมศรี,51081207,99,515971,2020-12-31 20:00:10,1030000,Gold
1057,เชฟขวัญ EngiChef,12164069,343,35463,2020-12-31 18:00:01,658000,Silver
1058,เดวิลเมจิ,497375,9,55263,2020-10-22 17:06:53,1760000,Gold
1059,เถื่อนChannel,9430590,54,174640,2020-12-24 19:15:03,309000,Silver
1060,เทพลีลา,44217875,144,307068,2020-12-28 18:45:00,659000,Silver
1067,เที่ยวอยู่ได้,58281,3,19427,2020-12-26 12:49:17,379000,Silver
1068,เที่ยวอยู่ได้ x โต๊ะแชร์,6953773,107,64988,2020-08-09 18:03:10,378000,Silver
1069,เบ๊น อาปาเช่,902650,26,34717,2020-11-28 19:14:16,305000,Silver
1071,เมียฝรั่งชนบท ต๊ะ 555,14361369,1272,11290,2020-12-31 20:19:23,239000,Silver
1072,เรียนเหอะ อยากสอน,418401,20,20920,2020-06-16 11:45:00,178000,Silver
1077,แดงปลาสวรรค์,525014,86,6104,2020-12-28 01:20:40,112000,Silver
1080,แม่ซี น้องมดดี้ Channel,18575724,163,113961,2020-12-30 20:31:36,548000,Silver
1084,โคตรคูล,140527564,267,526320,2020-12-30 17:00:04,1550000,Gold
1087,โบโบ กวนจีน 波波真幸福,1698836,53,32053,2020-12-17 19:00:06,217000,Silver
1090,โหน่งโชว์,3540211,140,25287,2020-12-31 18:00:11,880000,Silver
1091,โอ หงิด,25589335,65,393682,2020-12-28 17:13:44,1170000,Gold
